algorithm,params,calinski,siluetas
k-means,2,42.1545256784729,0.08005459
k-means,3,39.02213162945742,0.07486704
k-means,4,35.8188922329122,0.08289204
k-means,5,33.23440928379871,0.08071839
k-means,6,32.48530554298383,0.080105565
k-means,7,31.057173177157676,0.0896362
k-means,8,30.7687772624906,0.10119398
k-means,9,29.72885953370502,0.10431807
k-means,10,28.825202866058323,0.09845251
k-means,11,26.86555297395096,0.0925201
k-means,12,27.12920210631233,0.09986238
k-means,13,25.229105972230187,0.09799356
k-means,14,25.10747233472463,0.10591154
k-means,15,24.504139433623813,0.10440585
k-means,16,23.640017176195514,0.10846776
k-means,17,23.535758178451925,0.10079281
k-means,18,22.410641216041636,0.107562274
k-means,19,22.408186703620338,0.112567805
k-means,20,21.88232895942834,0.11457926
k-means,21,21.294346828736042,0.118050754
k-means,22,21.27181519031157,0.10907177
k-means,23,20.79560530233785,0.11945661
k-means,24,20.328728380845387,0.12171332
k-means,25,20.596888771117243,0.12249982
k-means,26,19.94578443648425,0.12787059
k-means,27,19.9851518297244,0.12868497
k-means,28,19.915582915049487,0.13235481
k-means,29,19.49809684315641,0.12676024
Birch,2,31.317384526906267,0.053285975
Birch,3,27.43913722063342,0.049773473
Birch,4,25.637363700488578,0.053978078
Birch,5,25.136718855806524,0.051615044
Birch,6,24.856281403916803,0.054655056
Birch,7,24.383642319263075,0.059232064
Birch,8,24.468245210000465,0.06377335
Birch,9,23.933935947489353,0.06548668
Birch,10,23.560406206258087,0.07321039
Birch,11,23.284037703171396,0.08131552
Birch,12,22.697912234736137,0.08752037
Birch,13,22.24846644368592,0.08619625
Birch,14,21.879945943172178,0.09257631
Birch,15,21.59177843703483,0.09578315
Birch,16,21.227184881995345,0.096903786
Birch,17,20.944123413214502,0.09945897
Birch,18,20.766251737966467,0.09000804
Birch,19,20.570196689696918,0.09021507
Birch,20,20.40993288070398,0.095516086
Birch,21,20.240283427849466,0.101252414
Birch,22,20.127134269472798,0.10760634
Birch,23,20.06594513320643,0.111687064
Birch,24,19.8771603709969,0.11631875
Birch,25,19.70433249820585,0.1179231
Birch,26,19.56629037084629,0.12010186
Birch,27,19.40215287789802,0.12294591
Birch,28,19.25261258885544,0.12577327
Birch,29,19.084416691275447,0.12993161
DBScan,,ERROR,ERROR
Affinity,,15.89284850440703,0.21408507
Mean Shift,,5.888145467476621,0.20006809
Agglomerative,ward-euclidean-2,30.746065480217855,0.06797164
Agglomerative,ward-euclidean-3,28.380154573902256,0.052139588
Agglomerative,ward-euclidean-4,27.129951431888834,0.06013776
Agglomerative,ward-euclidean-5,26.214889040749075,0.038654342
Agglomerative,ward-euclidean-6,25.861492077842573,0.040242467
Agglomerative,ward-euclidean-7,25.25339638385346,0.047393158
Agglomerative,ward-euclidean-8,24.791614667219402,0.060418747
Agglomerative,ward-euclidean-9,24.57926974380682,0.06981317
Agglomerative,ward-euclidean-10,23.943454797253825,0.07823568
Agglomerative,ward-euclidean-11,23.502925617478645,0.08628914
Agglomerative,ward-euclidean-12,23.078407279110042,0.062361713
Agglomerative,ward-euclidean-13,22.72593038565121,0.069570445
Agglomerative,ward-euclidean-14,22.45659663093334,0.07620751
Agglomerative,ward-euclidean-15,22.10211387588783,0.083195895
Agglomerative,ward-euclidean-16,21.756310440206907,0.09085741
Agglomerative,ward-euclidean-17,21.422394804736573,0.09677873
Agglomerative,ward-euclidean-18,21.15916601069303,0.10138964
Agglomerative,ward-euclidean-19,20.938358617183606,0.10346665
Agglomerative,ward-euclidean-20,20.704533253948558,0.103379294
Agglomerative,ward-euclidean-21,20.499889001110102,0.086859524
Agglomerative,ward-euclidean-22,20.294541439488857,0.09262316
Agglomerative,ward-euclidean-23,20.10349938599639,0.09614741
Agglomerative,ward-euclidean-24,19.936749748376386,0.09991566
Agglomerative,ward-euclidean-25,19.77131515261267,0.10438035
Agglomerative,ward-euclidean-26,19.576716123768488,0.10895565
Agglomerative,ward-euclidean-27,19.385633157241724,0.11411342
Agglomerative,ward-euclidean-28,19.214514788172913,0.1181494
Agglomerative,ward-euclidean-29,19.06348993792536,0.12077598
Agglomerative,complete-euclidean-2,9.201540430376088,0.40589184
Agglomerative,complete-euclidean-3,7.456080691157904,0.37728956
Agglomerative,complete-euclidean-4,8.157637234753095,0.018220205
Agglomerative,complete-euclidean-5,10.517629301368286,0.018441156
Agglomerative,complete-euclidean-6,12.341113151037385,0.0185918
Agglomerative,complete-euclidean-7,12.108345533249434,0.014683336
Agglomerative,complete-euclidean-8,11.565508035005594,0.017608434
Agglomerative,complete-euclidean-9,11.060928081497892,0.018574933
Agglomerative,complete-euclidean-10,11.07264252289546,0.021939008
Agglomerative,complete-euclidean-11,10.654381748894039,0.02416609
