p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20
-0.1857932,-0.020974861,0.2837743,0.53821325,0.026247235,0.049044676,-0.059795674,0.24964382,0.1486788,-0.23513757,0.6907511,0.3906057,-0.33207774,0.11969203,0.45197344,-0.07550005,-0.009843553,-0.0022933567,0.30789867,0.2529308,-0.5317687
-1.4063516,-0.058903296,-1.228433,0.5228756,0.01225912,0.23844223,0.3040886,1.080112,-0.6091553,-0.074862756,0.42496538,1.1320169,0.5312748,-0.2930337,0.6282155,-0.39005646,-0.050089158,0.22231075,0.46633747,-0.41937354,-0.5406111
0.54103893,1.2203352,0.57612884,0.36921233,0.030707859,-0.036666367,0.6006061,0.11741791,-0.078302,-0.70428497,1.1008589,1.4579502,-0.2494966,0.50535786,2.079669,-0.7836315,-0.8895438,-0.6061887,1.5475136,-0.27329367,0.97810215
-1.5090024,0.17303666,0.979848,0.7765734,0.6451091,0.91010755,-0.16086671,1.9581491,-0.2195734,-0.46670222,1.6045821,0.16729443,0.011264175,1.5745091,0.3546538,0.09021482,-0.21994667,1.3020353,-0.42455068,-0.75426066,0.8788608
-1.2160223,-0.5935943,1.5901538,-0.14788327,-0.6372514,-0.96523774,-1.2529591,0.9441217,-0.38300237,-0.8123692,1.9786528,0.45526183,1.0338701,-0.39223143,0.90475005,-0.10279382,0.78043264,-0.033061452,1.117683,0.13746211,0.033773758
-0.9484837,0.2756885,1.1772733,0.37949902,-0.47594795,-0.33706778,-0.6194317,0.98403424,-0.39326608,-1.1240836,1.7402356,-0.088005796,0.6236005,0.05403237,1.4696257,0.18220402,0.16839421,-0.67091745,0.6674369,0.22281024,-0.79305035
-0.8513084,-0.10398465,1.1885746,-0.35259,-0.4301264,0.21823609,-0.0005838598,1.2191536,-0.085612305,-1.275042,2.1996553,-0.32885092,0.8974229,0.4747634,0.77958405,0.3922952,0.13457,-1.0558373,0.5367955,0.6644017,-0.49908382
-1.315876,-0.7646781,0.8738988,0.049801145,0.6234837,1.2587637,-0.7134493,0.109322414,0.5498245,0.18037002,1.0483378,0.8366354,1.4008112,-0.8997783,0.050763667,-0.7587564,-1.5721564,0.8225339,-0.5047335,0.6676723,-1.3549508
-1.6973492,-0.24348211,0.97954667,0.38253146,0.09477414,-0.06409366,1.1936405,0.56319296,0.9877439,-0.0020288927,1.0499512,0.42566034,0.109996885,0.23713145,0.5641419,-0.025172763,-0.17468825,-0.13068713,-0.26104325,-0.7414513,-0.19571641
-1.6576123,2.0047708,0.9279605,0.4093505,0.23112606,0.48514745,-0.0685497,-0.53880686,-0.25493512,-1.363278,0.12770584,0.8907333,0.18609458,0.85403544,1.4488707,-1.0845054,0.045790136,1.4178655,0.23062022,0.80786675,0.3069503
-1.4902408,1.8481243,0.80434686,0.6624268,0.101966076,0.44087908,-0.21790381,-0.7019268,-0.19247521,-1.408618,0.028506009,0.5602878,0.29838774,0.7329098,1.3397788,-1.0356883,0.015827892,1.405795,-0.18873808,0.5916067,0.18166095
-1.0174643,0.10272096,-0.2716439,-0.34113124,0.7155958,-0.19573449,0.67655194,-0.066882394,0.51294273,-0.19731031,0.4825538,0.8644325,0.8107638,-0.6429545,1.3033415,0.29778042,-0.9968287,0.0145806465,-1.0263549,-0.1172013,-0.08450071
-1.0199487,0.147064,-0.32163048,-0.3139135,0.7155316,-0.122244686,0.7561652,0.0746284,0.5634736,-0.3581282,0.29745615,0.8304286,0.75810075,-0.6257372,1.3261341,0.24090275,-1.0299873,-0.032879166,-0.96572673,-0.06320771,-0.13671036
-0.6245358,1.0602685,0.88589054,-1.0811349,-0.26098576,0.17432825,0.43548188,2.2482622,0.65435743,-1.1097155,0.26735082,-0.3144887,1.7843338,0.0015201563,0.02947894,-2.0554168,0.10781298,-0.49580532,-0.008835739,-0.7028336,-0.34776694
-0.79980516,-0.12462298,-0.23771898,-0.13280514,0.26711777,-0.34592247,0.4896033,1.1548085,0.51711434,1.0598037,0.966012,0.4696787,-0.34952068,0.3117801,0.6748481,0.029200364,0.034533374,-0.19874212,-0.59923995,-0.4580268,-0.15883411
-0.16951704,-0.093265474,0.34295225,0.56302303,0.080770895,0.16308658,-0.08324603,0.3117193,0.25312632,-0.12683234,0.7612697,0.45723602,-0.48086274,0.22199751,0.53766614,-0.025205506,-0.031885833,0.062715754,0.44150236,0.49395847,-0.7374516
-0.15562098,-0.014515772,0.30432457,0.47587186,0.04021082,0.10091493,-0.085809335,0.24031034,0.15618137,-0.20843664,0.6866108,0.3719808,-0.3027107,0.119208306,0.45232087,-0.055111356,-0.047089867,0.013029648,0.29354918,0.28963804,-0.548836
-0.26429427,-0.04326065,-1.2733462,-0.6640005,0.7978393,-0.4469939,1.7959088,2.0846698,0.36955437,-2.1338398,0.8883869,0.40184268,0.3958319,1.238926,0.5162958,0.36967885,-0.91587627,-0.133406,-0.3326325,-0.33997187,-0.93018866
-0.3944948,0.49190554,-0.6145647,1.369461,-0.44959506,-0.7309247,-0.1041367,0.6842472,-0.053496044,-0.6480001,1.0981373,0.5628146,-0.62670636,-0.8819567,0.64282084,-0.12233248,-0.38879547,0.1893861,-1.419991,0.522472,0.39753374
-0.53316736,0.2708731,-0.233001,0.23142934,-0.34845832,0.57905054,-0.3376612,0.73864305,0.6837685,-0.4348323,1.1826987,0.5890808,0.010775999,-0.117208205,1.125193,-0.26500228,-0.35675755,-0.12452031,-0.19786657,9.065458e-06,0.05490288
-0.96860623,0.61804426,0.77065134,-0.51327866,0.554567,0.3887561,-0.21427482,0.12323382,1.1306721,-0.4566206,1.4348131,0.66145337,0.3596024,0.7900603,0.91181636,0.9293917,-0.081831045,-0.06549784,0.06091751,-0.0368759,-0.21285217
-0.6189137,0.2128211,0.60768604,-0.8387417,0.59177107,0.17396457,-0.6572184,0.46926498,1.2113259,-0.9122809,1.1570446,0.92683905,0.22966959,0.050695043,1.38735,0.9975328,0.06600765,-0.01680224,0.16537264,0.36176193,-0.6146098
