p_0,p_1
-2.2739837,1.2605467
0.67662024,1.3770757
1.8137382,1.9327936
-1.39473,0.8770695
-1.9704556,1.8054447
-1.5024247,1.6354159
-1.8887146,1.9153621
1.1461816,1.5387664
-1.6747205,1.5001283
1.5813648,2.0880847
1.6988274,2.1781325
0.68962544,1.6174563
0.8070307,1.6148354
-1.6911522,1.1362164
-2.0513222,1.1382003
-2.3182204,1.4402999
-2.2331133,1.2221336
0.35340872,1.4301784
0.12610906,1.0329224
-0.612895,1.7058095
-0.5630481,1.1724325
-0.30461666,1.0602502
-0.35243937,1.3887458
1.0480853,1.8171765
1.0556278,2.099448
2.1042087,2.2302775
2.2196946,2.3629766
2.3956847,2.4191422
1.7419999,2.3797078
-0.2225856,2.1988027
-0.33462107,1.8657664
-1.5238658,2.133228
-2.7186356,2.1198597
-2.3145938,1.770037
0.8912997,1.8992507
1.3109258,1.9639448
-1.2821047,1.2602607
0.09050535,1.0068698
0.092632525,1.0858381
-1.3362483,1.1993757
-0.2886882,1.561732
-0.49180838,1.5609237
-0.104918525,1.5883358
-0.23289002,1.55128
0.25089225,1.7315378
0.16428967,1.7818054
-0.16267334,1.3850856
-0.4152316,1.392498
0.08174907,1.1054095
-0.13163581,1.0377392
-0.2673769,0.7809249
-0.38751,1.0990702
-0.30003247,1.7981678
1.1681014,1.8311459
1.116931,1.6356729
0.52229905,1.6393747
0.97186065,1.5652162
0.63062227,1.668533
-2.2528646,1.3319567
-0.28856647,1.4423488
-0.03823591,1.0521792
-0.35121742,1.137034
0.98838294,1.5337828
-2.3716838,1.2112873
-1.7012248,1.2371427
-1.6228812,1.2872859
-2.2216737,1.6593438
1.4581954,1.5843921
0.14780346,1.2176267
-0.44093305,1.0754285
-0.4214153,1.2283959
0.018550353,0.97358906
-0.3864014,1.1338098
-0.022806965,1.5364738
-0.06590142,0.97257763
0.13981037,1.0441532
-0.0011726152,1.1080973
1.6041442,2.114165
-0.7019698,1.3169826
-1.7007644,1.4028431
0.9725056,1.776375
1.2861525,1.7879345
1.2572707,1.575918
-2.5899873,1.7271763
-0.5214702,1.2076069
1.9259645,2.5410624
1.8655671,2.3693945
0.0037629115,1.1176511
-0.0022526018,1.0246446
