p_0,p_1,p_2
-1.3498793,-1.8281919,1.7001307
-0.020021023,-0.33217362,1.4449097
-1.050794,-0.4002623,1.7765567
-1.3499572,-0.62582606,1.5605857
-2.5384028,-0.44025514,1.3174776
-2.667053,-0.64820963,1.5015056
-2.7414017,0.23376328,1.2563679
-1.3543047,-1.7544402,1.6641464
-2.314507,1.3069158,1.5319176
-1.2187108,-0.40564573,1.1033945
-1.4266473,-0.44045937,1.2329688
-0.48146898,1.5247024,1.5983435
-0.66249484,1.1773275,1.5618613
-0.18075375,3.513268,1.0377727
-0.5740952,-1.2458982,1.2939152
-1.5450946,-1.717812,1.7245246
-1.3242915,-1.8747895,1.7982086
-0.5016814,1.3153788,1.0451037
-2.012427,-0.29367843,0.8782906
-1.9052656,1.7007937,0.79008883
-1.1259012,1.2563987,1.0274857
-1.4713523,0.86156756,1.003685
-2.1905406,3.570722,1.6508837
-1.3112092,-1.890909,2.5124767
-1.9711832,-3.4742362,3.5741088
1.6455635,-1.5134251,3.4426992
1.8208855,-1.3960408,3.4019709
1.9102912,-1.6082352,3.7000291
1.3854373,-0.985319,3.2264519
-1.9566363,1.955701,1.1508359
-2.2034347,2.1380756,1.3822427
-1.0386896,2.0444021,1.6064072
-0.81001836,1.453026,0.45748582
-1.5767815,2.4287636,0.4293716
0.36353377,2.4271986,2.1572602
1.05528,2.1062758,2.8082914
-2.317657,0.038896192,1.1614333
-1.873681,-0.20460491,0.79701847
-1.7224655,-0.28333646,0.8525219
-2.2628613,-0.032230493,1.1185502
-2.793327,1.082895,1.1061126
-2.7610621,0.85618955,1.0124995
-3.2125816,2.6170373,1.2031305
-3.217503,2.495684,1.177683
-2.5453742,0.65955454,1.1020279
-2.542921,0.36656687,1.0542058
-2.1093693,2.1380966,0.76671934
-2.027491,2.009804,0.6612164
-1.9488107,0.48969746,1.2803601
-1.3341624,1.1683074,1.1969676
-2.1492934,1.0361887,1.1802788
-2.0979671,0.612996,1.2937561
-1.7485385,1.2010089,0.59117305
-2.2324765,-0.6456487,1.3996397
