p_0,p_1,p_2,p_3,p_4,p_5
-0.4305339,1.0207598,0.057244338,-0.15635566,1.8958313,-0.097863115
1.2991153,0.32137147,2.789955,-0.26100886,-0.3645545,-0.6847317
-0.98403555,-1.0115261,2.4094727,-1.469065,2.8596473,-1.0013151
1.9572445,0.08857583,1.4265102,-1.4155245,3.4041698,0.23538962
-0.45030493,-1.1155094,1.0363328,-1.394357,3.38016,1.7123427
-0.5027326,-0.5201373,1.2529963,-1.1891567,3.265627,0.46920902
-0.62393993,-1.6992048,1.7392994,-1.9649494,3.1847951,0.80716425
0.8487873,-1.3083767,2.2460654,-0.24452932,2.7729156,-1.0258822
2.7611778,0.52301574,2.7277012,0.3278709,1.1952438,0.2663965
1.5404792,0.73830587,1.0629888,0.95511854,3.7560627,-0.3864313
1.3773209,0.9211996,1.164395,1.1837189,3.7272754,-0.43315518
-0.21321127,2.0606995,0.96968585,-0.4230864,0.38161537,2.67851
-0.37814292,1.9762399,0.9774958,-0.43358397,0.3850557,2.7717712
-1.73678,1.0798073,1.2645068,-3.7060816,-0.45397967,3.0658426
0.455312,1.8337448,0.22668818,1.6390545,2.747674,1.1997259
-0.8741292,1.1264484,-0.03748158,-0.07050789,2.1459503,0.004339563
-0.5420566,0.7993361,0.07889305,-0.18440339,1.980839,-0.110971935
2.641156,1.0301032,2.439858,-2.8712766,1.7706372,-0.11825307
0.008606853,-0.78903663,2.9162967,0.8932333,-0.0006529266,0.10116562
-1.4496523,-0.41524512,1.7959883,-0.3286408,0.35920686,1.346068
1.4841943,0.38893408,1.2499497,-1.4499018,2.4031954,0.38021412
0.25778887,-0.24518335,1.3619524,-2.1416223,2.5229409,0.59886414
-0.30843005,0.46235394,2.308757,-2.6404107,-0.15898515,3.3265512
-3.720941,-0.87243426,1.0452821,0.9058432,3.919183,1.103224
-4.017646,-1.6753726,2.1714115,1.345306,3.9758482,1.6336421
-0.5160901,3.0707588,1.2110995,2.3000658,1.5982164,0.19179274
-0.49680674,3.0904722,1.1211387,2.387764,1.6924614,0.15968998
-0.38611805,2.9552736,1.137622,2.5088074,1.8610625,0.03621403
-0.9285936,3.2109668,1.5671067,2.5834618,1.4608368,0.025364572
-1.901642,-0.9038583,0.92508715,-1.9734164,2.8374946,1.229108
-2.1666865,-0.74936503,1.032282,-1.931874,3.2414117,0.9577557
3.3205183,1.0059001,2.7872941,0.24276909,-0.04914942,-0.13913494
1.6047355,0.9559472,1.1407332,-0.9247853,0.03178939,1.2057841
2.2356806,0.84850544,2.2499797,-1.6580907,-0.22897322,0.29596227
2.1378493,1.7120594,3.623817,-0.34284627,-0.051693738,-0.74406785
2.1571846,1.9114282,3.0153377,-0.633396,0.010643157,-0.61869395
-0.401125,-1.6924348,2.265072,-0.8494695,1.45169,0.8214243
0.009619125,-0.74718773,2.7434464,0.90972066,-0.09955411,0.15131967
-0.57852936,-0.62311316,2.364643,0.8351359,-0.24350777,1.296837
-0.2824018,-1.6286906,2.239964,-0.9166026,1.3477037,0.7980276
-1.2973112,-1.7317302,2.342894,-0.5530407,1.2999662,1.5427366
-0.9670881,-1.9065814,2.490288,-0.7198884,1.3590205,1.1968511
-0.90747297,-0.75852364,1.8163742,-0.70708114,0.072182134,0.8113394
-0.5179424,-0.9028184,1.7927306,-0.7584554,0.06011966,0.67449975
-2.573301,-1.6015288,2.6776342,0.59353757,0.49241433,2.1699238
-2.1661477,-1.7847975,2.7128222,0.35831586,0.6727859,1.9526106
-0.57047945,-0.31372878,1.4132082,-0.71576625,0.2653564,0.6904669
-0.42658046,-0.47315753,1.496291,-0.626802,0.40076718,0.53343034
0.84210336,0.12121294,4.067681,0.9737969,-0.8314762,-0.10544881
1.3283551,0.87812746,3.6199467,0.9577478,-1.1330864,-0.1589988
1.0384493,0.39975768,3.762207,1.1487758,-0.93982536,-0.029968824
0.98612595,0.08048999,4.2864017,1.0808394,-0.7417487,-0.40477264
1.4096571,-0.4923409,4.5928135,1.2211603,-1.2056617,-0.96464384
2.1214235,0.56472796,2.639586,0.7047704,1.3890389,-0.64386153
2.090057,0.08705204,2.6738846,0.8432293,1.6069317,-0.7653946
2.2506926,0.47961992,2.9566789,0.6874088,1.4874551,-0.21395595
1.970752,0.009826654,2.4700215,0.7241648,1.831411,-0.61153704
2.190045,1.0424825,1.8918769,1.0766698,1.025531,0.5045401
1.7522055,1.5636793,1.9218587,0.5240736,1.7345432,0.7950956
-0.5398461,-1.9255286,2.4637995,-0.33074418,1.8214321,0.93229115
-0.5319552,-0.7338319,2.3926558,0.76697475,-0.2724785,1.3695372
0.26105955,-0.8639959,3.1513047,0.40213522,-0.058919325,0.13609186
-1.8371297,0.939649,1.2202857,-0.90316075,1.171699,-1.1077951
-0.31354824,1.7505875,1.9964174,0.6180058,-1.6352136,0.6210194
-0.92804074,1.2498413,0.2849584,-0.3241515,2.13685,2.3636763
-1.8976806,2.8687901,-0.109661095,0.9579947,4.6067495,1.8849143
-1.195159,3.606161,-0.14851607,0.65129507,3.5302734,2.211731
1.4542243,0.2926962,3.6978397,0.8398527,0.6626093,-1.8960657
-1.239639,1.0398643,0.9859974,-2.6193562,-0.69870454,2.662696
-0.04192578,-0.42597875,1.5934212,-2.0249977,1.6364362,0.029232955
